,-0.06522147711203591
v66,-0.30676967534142785
a58,-0.1574287113531201
s66,-0.04813043336568221
a70,-0.017276061747897174
cl62,-0.10489158274641926
i66,-0.014837258663069983
v58,-0.15789062560900446
s62,-0.07100461378385738
c70,-0.012027049617374391
cl58,-0.03954582548324593
i70,-0.031327347095284404
v62,-0.014421486670556457
a66,-0.014032828976517997
c62,-0.023170202504588375
s70,-0.013311140629154214
cl66,-0.06349812969555435
i62,-0.182771585738287
v70,-0.06343817020974912
c66,-0.12651311430828213
s58,-0.11432568657837434
a62,-0.8202402318835409
cl70,-0.41467660498939823
i58,-3.5031438222844105
c58,-2.7380806363438435
