,-0.27110771966918046
a58,-0.4408149919630556
s66,-0.0839712415834768
a70,-0.04364932502804569
cl62,-0.027263205744225305
i66,-0.09777729961354878
v58,-0.055121733846872425
s62,-0.10186319250161845
c70,-0.08430389065131003
cl58,-0.16934050825482022
i70,-0.0629161595469938
v62,-0.15563476111445457
a66,-0.02676168717508698
c62,0.0
s70,-0.15365502713569135
cl66,-0.012208796829150497
i62,-0.06617819216444697
v70,-0.22938276834935645
c66,-0.015039996230694429
s58,-0.012027049617374391
a62,-0.12640231786011527
cl70,-1.0793724401292473
i58,-0.1393548494823369
c58,-1.6215438363790589
v66,-3.959873550855171
