,-0.3489168439378887
c58,-0.4811265136746071
v66,-0.28471427585800213
a58,-0.2484480276055178
s66,-0.17167605069629654
a70,-0.12151235633313189
cl62,-0.2896324530467291
i66,-0.16307465454336595
v58,-0.17492505509207024
s62,-0.2362924964942701
c70,-0.19960659326918423
cl58,-0.2653247219477335
i70,-0.12389368094250774
v62,-0.15339770872357253
a66,-0.28304118574669085
c62,-0.3331961330361436
s70,-0.2509981392729802
cl66,-0.32854814239750496
i62,-0.17529291326642282
v70,-0.1784712175444098
c66,-0.2236655875279546
s58,-5.396466262156039
a62,-1.536190883186174
cl70,-3.4221561806548872
i58,-4.4117528231608905
