,-0.2058545731520313
s62,-0.2314334588190509
c70,-0.09935341680153462
cl58,-0.023748830723551835
i70,-0.019502117561382596
v62,-0.08317766691362447
a66,-0.09496927365797236
c62,-0.15059181402798388
s70,-0.11112785585854504
cl66,-0.09073077954644512
i62,-0.041119766929131295
v70,-0.11265000319707724
c66,-0.009612027666233283
s58,0.0
a62,-0.06762344169891178
cl70,-0.012208796829150497
i58,-0.04801425753085026
c58,-0.3094280772863711
v66,-0.05541305462346002
a58,-0.1004381720985894
s66,-0.18148035823703185
a70,-2.2685750818993418
cl62,-0.1393548494823369
i66,-1.889023682758824
v58,-1.8145308146440982
