,-0.31242539158970933
v58,-0.41638524782205266
s62,-0.11583108820595779
c70,-0.02317372488259151
cl58,-0.10036461958243344
i70,-0.0669638684052885
v62,-0.010577701143399043
a66,-0.16181879118165293
c62,-0.07710819049989788
s70,-0.08441992778158604
cl66,-0.06545862040909799
i62,-0.102444394261928
v70,-0.03529469106215132
c66,-0.06859179647264323
s58,-0.07298613788945339
a62,-0.013311140629154214
cl70,-0.06349812969555435
i58,-0.23333809757198404
c58,-0.08286678367241353
v66,-0.08015095397250008
a58,-0.171032165166083
s66,-1.177079697899624
a70,-0.3914012838151508
cl62,-4.173636614636651
i66,-2.582098216035577
