,-0.20266803543434672
cl66,-0.25628290935905346
i62,-0.29809265651998795
v70,-0.13192975719963274
c66,-0.16125463578085497
s58,-0.16602835436986874
a62,-0.24624533752993705
cl70,-0.09708000914863105
i58,-0.21804666209288953
c58,-0.1794773778533306
v66,-0.12584711920947578
a58,-0.2178095149060589
s66,-0.07590103312307012
a70,-0.05764191612173825
cl62,-0.22396955968976423
i66,-0.2242202439452038
v58,-0.197070403345395
s62,-0.34725546252412065
c70,-0.21298181207727157
cl58,-0.25084365621987215
i70,-0.1749792897924859
v62,-3.9507493368378843
a66,-1.272486857236578
c62,-2.074836878962162
s70,-5.171401074780791
