,-0.31991463791632463
i58,-0.3785795040441574
c58,-0.2557673177540793
v66,-0.27209835804704563
a58,-0.214685384057911
s66,-0.26755062292090764
a70,-0.24196461145338088
cl62,-0.15262963107999541
i66,-0.15903074085757146
v58,-0.27376252380071364
s62,-0.13487063245411368
c70,-0.307636516207925
cl58,-0.1477137603716813
i70,-0.15172196635544072
v62,-0.16129217154131437
a66,-0.109562841959286
c62,-0.21515860296431166
s70,-0.37268480478729227
cl66,-0.20912104454324662
i62,-0.24185032512951765
v70,-0.3974678377151713
c66,-3.4304968209003626
s58,-1.7371861259281172
a62,-2.5349227726144594
cl70,-1.952797899744878
