,-0.18959054078849596
a66,-0.1974033115692772
c62,-0.12330316527015941
s70,-0.04801425753085026
cl66,-0.10107783147216934
i62,-0.06382871826321637
v70,-0.10816300496229003
c66,-0.10263264433762198
s58,-0.14948339743969974
a62,-0.06425137800558628
cl70,-0.04914748024755572
i58,-0.18587006158158648
c58,-0.03759017761703793
v66,-0.021824662514022843
a58,-0.07298613788945339
s66,-0.01816737187277086
a70,-0.06273500013031576
cl62,-0.1176557020998695
i66,-0.05469490700361894
v58,-0.013118380748764211
s62,-0.26097188679719063
c70,-1.039297678776294
cl58,-0.3482271813755371
i70,-1.6893546361390577
v62,-3.797787105973767
