ĞòºÅ,a58_intelligibility_lda,a62_intelligibility_lda,a66_intelligibility_lda,a70_intelligibility_lda,c58_intelligibility_lda,c62_intelligibility_lda,c66_intelligibility_lda,c70_intelligibility_lda,cl58_intelligibility_lda,cl62_intelligibility_lda,cl66_intelligibility_lda,cl70_intelligibility_lda,i58_intelligibility_lda,i62_intelligibility_lda,i66_intelligibility_lda,i70_intelligibility_lda,s58_intelligibility_lda,s62_intelligibility_lda,s66_intelligibility_lda,s70_intelligibility_lda,v58_intelligibility_lda,v62_intelligibility_lda,v66_intelligibility_lda,v70_intelligibility_lda
17-zy2308131,0.999603808,0.534568489,0.986865163,0.644571066,0.999337792,0.674023688,0.970900774,0.600746989,0.999830961,0.99881506,0.297030628,0.686578214,0.545830011,0.999567866,0.584942102,0.719183803,0.825656533,0.918295622,0.999248743,0.999398708,0.554477334,0.996498048,0.999859333,0.605048478
18-BY2308106,0.086874865,0.554661095,0.574013054,0.606658459,0.999996901,0.185649067,0.999367893,0.565503061,0.999758601,0.998900652,0.474868685,0.549133301,0.999904394,0.987327337,0.679869175,0.999068379,0.714753747,0.995308101,0.53564465,0.999917805,0.999965608,0.535381675,0.559936523,0.99984926
19-BY2308111,0.998857021,0.716585934,0.653719544,0.36337623,0.643237054,0.996257186,0.812297583,0.999641061,0.999365807,0.891475916,0.999637246,0.535939753,0.550988138,0.999866486,0.578904986,0.621964276,0.970405221,0.999923348,0.999758124,0.999264181,0.999538541,0.160091549,0.999866724,0.999857426
20-ZY2207207,0.999997258,0.891893089,0.999674737,0.101280443,0.999992967,0.535570681,0.99828279,0.999798656,0.998672903,0.999997258,0.529092848,0.999980092,0.538988352,0.999972939,0.707143188,0.999913335,0.539706349,0.999821305,0.537607193,0.531196237,0.999991894,0.936464906,0.445674658,0.540391564
21-by2308134,0.998981714,0.999932408,0.984590888,0.997074127,0.540663242,0.509247422,0.625460267,0.999561429,0.999508619,0.697345734,0.999511778,0.999788046,0.999875903,0.999869823,0.992293715,0.997239828,0.735952556,0.999299288,0.530127108,0.999768257,0.999960542,0.99969095,0.999648094,0.207349092
22-22377318,0.999745607,0.999912143,0.614862859,0.996846437,0.868975043,0.999380529,0.42628777,0.998583853,0.587097824,0.833447576,0.999805927,0.846089303,0.995487511,0.996742368,0.99184835,0.997142017,0.519619286,0.999898076,0.999878645,0.541064024,0.788617849,0.549706519,0.556658447,0.544248164
23-21377298,0.999777555,0.999670863,0.873862863,0.985998511,0.961647987,0.999117374,0.999766231,0.413079798,0.996288061,0.999783516,0.993591487,0.972674429,0.999467373,0.170155868,0.997924924,0.842118084,0.999793828,0.980938494,0.998885453,0.999500036,0.572231472,0.996574998,0.554228067,0.667170763
24-BY2308103,0.998752594,0.998144627,0.585461557,0.999658823,0.999422729,0.999212384,0.999520659,0.35164988,0.998157263,0.992941201,0.579035521,0.999552369,0.594444156,0.994006097,0.612331092,0.819244981,0.90208602,0.608847439,0.999593973,0.56041497,0.617425799,0.582723796,0.999501228,0.982423186
25-SY2308310,0.999774456,0.968337893,0.624146521,0.999611378,0.999873757,0.995963335,0.999991477,0.999693513,0.999676228,0.999957979,0.999945998,0.999448776,0.999996781,0.945576906,0.996180058,0.998598456,0.999987066,0.99999404,0.999995351,0.999819994,0.999984503,0.954141676,0.998814583,0.999909043
26-22374085,0.999676704,0.999947011,0.582205892,0.999654293,0.999937952,0.995223284,0.979352117,0.659294307,0.539983153,0.662328362,0.999995291,0.999989867,0.999848604,0.54912281,0.695762694,0.546612799,0.998694718,0.535758436,0.998902798,0.543413401,0.548540771,0.99781841,0.9998101,0.997935891
27-22377099,0.999913812,0.999998808,0.999893963,0.831012607,0.999513209,0.999824226,0.548850119,0.999977946,0.533161223,0.999973297,0.999884903,0.999926329,0.798118591,0.529362142,0.462538183,0.999963403,0.999972343,0.999999464,0.960995972,0.999989629,0.999970317,0.999601364,0.573805511,0.850764632
28-21377086,0.9435848,0.999757588,0.999441981,0.856351018,0.999514282,0.999898911,0.99924475,0.710607648,0.99995029,0.979749084,0.998601079,0.949082851,0.999566495,0.55328685,0.539572179,0.997945905,0.99985826,0.53314656,0.205661073,0.961572587,0.999895751,0.999477625,0.903694034,0.560989141
29-21377061,0.140832037,0.776145101,0.661011457,0.98954469,0.541612804,0.983685732,0.999214292,0.9963696,0.703806698,0.988177061,0.997934163,0.995032191,0.999244094,0.999547958,0.606030464,0.832767308,0.999674559,0.999044538,0.999279499,0.999206841,0.998909712,0.687356055,0.555535614,0.546687245
30-21377172,0.541507304,0.999812484,0.999546409,0.999822259,0.999954581,0.999948919,0.991082549,0.363864958,0.212446928,0.973852634,0.997716665,0.999960244,0.538024843,0.95112896,0.999612212,0.99929148,0.999783337,0.999842405,0.643685341,0.99983108,0.999984622,0.672875583,0.710382342,0.999896049
