,0.3866427356886454
v66,0.10086342229199372
a58,0.4255920550038197
s66,0.22222222222222224
a70,0.2965722801788376
cl62,0.6226016260162601
i66,0.2941729323308271
v58,0.33244047619047623
s62,0.31929466627805303
c70,0.40584415584415584
cl58,0.4031713900134953
i70,0.27036516853932585
v62,0.6792929292929293
a66,0.1
c62,0.5842968257305023
s70,0.595959595959596
cl66,0.594311570782159
i62,0.3277579162410623
v70,0.297553882996921
c66,0.20065789473684212
s58,0.4831349206349206
a62,0.4056756756756757
cl70,0.45772837265577737
i58,0.4235719235719236
c58,0.741711229946524
