,0.5372189684488948
cl58,0.31475667189952905
i70,0.1692131398013751
v62,0.2833333333333333
a66,0.20566318926974664
c62,0.2208130081300813
s70,0.3145810955961332
cl66,0.4357142857142857
i62,0.6038327018361993
v70,0.42045454545454547
c66,0.3351889338731444
s58,0.25363891726251275
a62,0.35542929292929293
cl70,0.34545454545454546
i58,0.6104687828463318
c58,0.3883838383838384
v66,0.7301228183581125
a58,0.5471782431052095
s66,0.5343824837495723
a70,0.08388157894736842
cl62,0.5555555555555556
i66,0.4267567567567567
v58,0.3936025408348457
s62,0.4524799524799525
c70,0.5401069518716577
