,0.4921875
i62,0.4375
v70,0.4609375
c66,0.5234375
s58,0.5390625
a62,0.5234375
cl70,0.484375
i58,0.46875
c58,0.46875
v66,0.4296875
a58,0.53125
s66,0.640625
a70,0.40625
cl62,0.4296875
i66,0.3671875
v58,0.5078125
s62,0.53125
c70,0.5078125
cl58,0.5859375
i70,0.546875
v62,0.4921875
a66,0.6484375
c62,0.578125
s70,0.515625
cl66,0.6875
