,0.30434782608695654
v62,0.2348744292237443
a66,0.15705412599822538
c62,0.15572033898305085
s70,0.3197994987468672
cl66,0.23715029277813923
i62,0.31733615221987316
v70,0.2307905686546463
c66,0.2020342117429496
s58,0.22844827586206895
a62,0.2758260869565218
cl70,0.19280701754385965
i58,0.3044899738448126
c58,0.23206896551724138
v66,0.307021539662914
a58,0.256625272052234
s66,0.36923763259641124
a70,0.1810747663551402
cl62,0.22844036697247708
i66,0.23393691588785046
v58,0.4094822946937897
s62,0.5766324878575284
c70,0.3549268464657148
cl58,0.48629776021080373
i70,0.3525014376078206
