,0.11658653846153846
a62,0.11373126995824122
cl70,0.12280701754385964
i58,0.10526315789473684
c58,0.11779661016949153
v66,0.08978328173374613
a58,0.10243350311262026
s66,0.10597826086956522
a70,0.1043557168784029
cl62,0.10941644562334218
i66,0.14787798408488065
v58,0.16569468267581475
s62,0.089937106918239
c70,0.11055941741145316
cl58,0.11557377049180328
i70,0.08966861598440545
v62,0.10539291217257318
a66,0.09433962264150944
c62,0.10853976531942634
s70,0.10555555555555556
cl66,0.1372434017595308
i62,0.9076271186440679
v70,0.7638986629134412
c66,0.7962962962962963
s58,0.9492124718739955
