,0.2080121800361595
cl62,0.1768465909090909
i66,0.14895302773061686
v58,0.20146130382350855
s62,0.2753414809489576
c70,0.23817233315344488
cl58,0.3029631122757509
i70,0.2071600965406275
v62,0.26715319361277445
a66,0.2560595699414938
c62,0.2658506731946144
s70,0.21895025938358256
cl66,0.28508098891730604
i62,0.13247729408080175
v70,0.25948361469712017
c66,0.3487343007743867
s58,0.3074074074074074
a62,0.2584104289318755
cl70,0.2260508308895406
i58,0.19333950046253467
c58,0.30048522905665764
v66,0.6319073083778965
a58,0.4639024390243902
s66,0.46920045887575434
a70,0.49648028962188256
