,0.23138297872340424
a58,0.29963092463092467
s66,0.24731789949181254
a70,0.19011470985155193
cl62,0.2718542660924223
i66,0.32126068376068373
v58,0.4431516636048173
s62,0.30354449472096534
c70,0.2795749704840614
cl58,0.2911708829117088
i70,0.3386706386147831
v62,0.31575989208633093
a66,0.24645537948290241
c62,0.3122614227877386
s70,0.27661943319838056
cl66,0.33331752880375515
i62,0.34190476190476193
v70,0.24593424593424593
c66,0.36094143011139057
s58,0.3330772607550483
a62,0.3834322872490812
cl70,0.8065789473684211
i58,0.471080446271286
c58,0.5407801418439716
v66,0.7842470506592644
