,0.999935507774353
c58,0.11245235055685043
v66,0.5597420334815979
a58,0.6344349384307861
s66,0.25135746598243713
a70,0.9848304986953735
cl62,0.5657670497894287
i66,0.5927016139030457
v58,0.5502946376800537
s62,0.5307614207267761
c70,0.7612494230270386
cl58,0.9999254941940308
i70,0.5579437613487244
v62,0.1345231682062149
a66,0.597535252571106
c62,0.999488890171051
s70,0.15815380215644836
cl66,0.9223912954330444
i62,0.9998301267623901
v70,0.21280036866664886
c66,0.5670574307441711
s58,0.6233226656913757
a62,0.1874004453420639
cl70,0.7610723972320557
i58,0.5522022247314453
