,0.5607818961143494
s58,0.9999738335609436
a62,0.9996250867843628
cl70,0.8360277414321899
i58,0.7801707983016968
c58,0.9996277093887329
v66,0.99483323097229
a58,0.9999505281448364
s66,0.9990881681442261
a70,0.6035274863243103
cl62,0.9999801516532898
i66,0.5565619468688965
v58,0.48077476024627686
s62,0.9959847331047058
c70,0.866502046585083
cl58,0.5642287731170654
i70,0.46255844831466675
v62,0.5701723694801331
a66,0.5669758915901184
c62,0.9691882133483887
s70,0.5787501931190491
cl66,0.9998869895935059
i62,0.5538772344589233
v70,0.5839148759841919
c66,0.9987282752990723
