,0.7308175563812256
i58,0.9999982118606567
c58,0.9998829364776611
v66,0.16984181106090546
a58,0.20258527994155884
s66,0.5715904235839844
a70,0.9765006303787231
cl62,0.9999858140945435
i66,0.4987993836402893
v58,0.5562177300453186
s62,0.9997915029525757
c70,0.9920307397842407
cl58,0.9676010012626648
i70,0.9952765703201294
v62,0.5781551003456116
a66,0.581919252872467
c62,0.15066185593605042
s70,0.20416690409183502
cl66,0.999937117099762
i62,0.13318808376789093
v70,0.5675386190414429
c66,0.1282590627670288
s58,0.23057401180267334
a62,0.8867958784103394
cl70,0.5277599692344666
