,-9.175412588615115e-17
cl66,-1.2969395719153536e-16
i62,-6.135890180808083e-17
v70,1.0035256978193202e-16
c66,1.451690319240546e-17
s58,1.2333321956515193e-16
a62,-8.439146490899639e-17
cl70,2.3106940072017526e-16
i58,1.303332461458322e-16
c58,-2.4047542411908904e-17
v66,0.0
a58,0.0
s66,1.6182359939990253e-17
a70,-5.542849793573438e-17
cl62,4.3705028943345057e-17
i66,9.561105989920317e-17
v58,-1.7653818204954266e-16
s62,4.008501643055049e-17
c70,-2.2723703925923877e-16
cl58,-8.879187580207732e-18
i70,-8.11661509499248e-17
v62,1.517245467753563e-16
a66,1.2298145647370322e-16
c62,-8.134864255769966e-17
s70,
