,0.9996658563613892
i58,0.999338686466217
c58,0.9999525547027588
v66,0.9772019982337952
a58,0.5388813018798828
s66,0.9998922348022461
a70,0.9997060298919678
cl62,0.9998574256896973
i66,0.9997814893722534
v58,0.5294705033302307
s62,0.9997252225875854
c70,0.5616510510444641
cl58,0.9999890327453613
i70,0.8608764410018921
v62,0.9998600482940674
a66,0.7952650785446167
c62,0.5419124960899353
s70,0.5373122096061707
cl66,0.942638635635376
i62,0.998121976852417
v70,0.6652745604515076
c66,0.9998761415481567
s58,0.994489312171936
a62,0.6901701092720032
cl70,0.9997087717056274
