,0.9998016357421875
v62,0.5433880090713501
a66,0.9932272434234619
c62,0.675684928894043
s70,0.9995324611663818
cl66,0.9994760155677795
i62,0.9984503388404846
v70,0.9892491102218628
c66,0.9991850852966309
s58,0.48977547883987427
a62,0.8313082456588745
cl70,0.7125287055969238
i58,0.9991713166236877
c58,0.9994677305221558
v66,0.9999339580535889
a58,0.9997486472129822
s66,0.9996410608291626
a70,0.9538763761520386
cl62,0.5382913947105408
i66,0.6310285329818726
v58,0.9999533295631409
s62,0.9990007281303406
c70,0.9977664947509766
cl58,0.9997756481170654
i70,0.6951739192008972
