,0.590139627456665
c62,0.9999930262565613
s70,0.996489405632019
cl66,0.999991774559021
i62,0.9999910593032837
v70,0.9979333877563477
c66,0.9993374347686768
s58,0.840405285358429
a62,0.9997769594192505
cl70,0.5009404420852661
i58,0.5303447246551514
c58,0.1352599561214447
v66,0.9945902824401855
a58,0.9998976588249207
s66,0.5347235798835754
a70,0.6513645052909851
cl62,0.5322720408439636
i66,0.9963618516921997
v58,0.9997310638427734
s62,0.09115156531333923
c70,0.9980717897415161
cl58,0.9998221397399902
i70,0.7208341956138611
v62,0.9995028972625732
a66,0.9997011423110962
