,0.626478910446167
s62,0.9992337226867676
c70,0.9994187355041504
cl58,0.5434126853942871
i70,0.6550681591033936
v62,0.9997909665107727
a66,0.9990055561065674
c62,0.998367190361023
s70,0.5430924296379089
cl66,0.6840779781341553
i62,0.9999388456344604
v70,0.6918219923973083
c66,0.8258549571037292
s58,0.9983459711074829
a62,0.9998540282249451
cl70,0.9997278451919556
i58,0.9999950528144836
c58,0.9998249411582947
v66,0.9996600151062012
a58,0.9989389181137085
s66,0.30448076128959656
a70,0.8857265114784241
cl62,0.23588430881500244
i66,0.24095341563224792
v58,0.6936517357826233
