,0.5390137918004911
c66,0.4379905808477237
s58,0.31871657754010696
a62,0.38921568627450975
cl70,0.5546448087431693
i58,0.39439024390243904
c58,0.6278195488721805
v66,0.46458333333333335
a58,0.365636840571262
s66,0.3712121212121212
a70,0.3625168690958165
cl62,0.3167134831460674
i66,0.6445707070707071
v58,0.2
s62,0.4930628547403826
c70,0.4041125541125541
cl58,0.690885585003232
i70,0.23729570990806947
v62,0.41994526171741364
a66,0.1417763157894737
c62,0.45039682539682535
s70,0.6214864864864865
cl66,0.3253932244404114
i62,0.3146718146718147
v70,0.5080213903743316
