,0.13279530447542187
c62,0.10466845078798691
s70,0.11910669975186104
cl66,0.10909090909090909
i62,0.13176638176638178
v70,0.14358108108108109
c66,0.11620553359683794
s58,0.1039426523297491
a62,0.11328976034858387
cl70,0.1277966101694915
i58,0.1620408163265306
c58,0.17660377358490564
v66,0.12011922503725783
a58,0.14074074074074072
s66,0.15404364569961487
a70,0.10230179028132992
cl62,0.11336898395721925
i66,0.15028490028490027
v58,0.08899521531100478
s62,0.09018567639257294
c70,0.14226115978306214
cl58,0.8570621468926554
i70,0.35238095238095235
v62,0.7592592592592593
a66,0.5399393326592518
